날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
	2022-08-01,159,27.5,26.2,30.5
	2022-08-02,159,27.1,26,29.4
	2022-08-03,159,27.7,25.4,30.4
	2022-08-04,159,28.7,26.2,31.8
	2022-08-05,159,29,26.6,33.1
	2022-08-06,159,29.2,26.9,32.4
	2022-08-07,159,29,26.8,32.3
	2022-08-08,159,28.9,27.3,31.3
	2022-08-09,159,28.6,27,32
	2022-08-10,159,28.1,27.2,30.4
	2022-08-11,159,27.4,25.6,29
	2022-08-12,159,28.1,25.2,31.9
	2022-08-13,159,27.2,23.5,31.4
	2022-08-14,159,28.3,25.1,32.7
	2022-08-15,159,29,26.8,31.5
	2022-08-16,159,26.1,23.8,29.2
	2022-08-17,159,22.9,21.9,24.2
	2022-08-18,159,24.8,21.7,28.9
	2022-08-19,159,26.6,22.5,30.1
	2022-08-20,159,25.6,23.4,27.7
	2022-08-21,159,26,23,30.3
	2022-08-22,159,25.7,21.2,29
	2022-08-23,159,26.8,24.1,31.4
	2022-08-24,159,22.2,20.7,24.2
	2022-08-25,159,24.5,20.4,28.8
	2022-08-26,159,25,22.4,28.7
	2022-08-27,159,24.6,21.2,29.8
	2022-08-28,159,23,19.5,27.2
	2022-08-29,159,24.3,21.1,29.7
	2022-08-30,159,24,22.6,27.2
	2022-08-31,159,22.6,21.2,24.3
	2022-09-01,159,21.9,21,23.1
	2022-09-02,159,20.9,20,22.3
	2022-09-03,159,22.7,20.8,25.1
	2022-09-04,159,25.8,22.5,29.4
	2022-09-05,159,26.2,25.3,27.9
	2022-09-06,159,24.5,21.3,28.3
	2022-09-07,159,23.3,18.8,28.7
	2022-09-08,159,22.7,19.3,27.4
	2022-09-09,159,23.1,20,28
	2022-09-10,159,22.8,20.8,26.4
	2022-09-11,159,23.8,21,28.6
	2022-09-12,159,24.5,21.9,28.1
	2022-09-13,159,24.7,22.7,28.4
	2022-09-14,159,24.3,22.1,28.7
	2022-09-15,159,24.3,22.5,28.1
	2022-09-16,159,25.1,22.5,29.2
	2022-09-17,159,25.8,23.2,30.4
	2022-09-18,159,26.4,23,31
	2022-09-19,159,24.1,19,28.8
	2022-09-20,159,19.3,17.4,23.4
	2022-09-21,159,18.9,15.4,23.4
	2022-09-22,159,20.3,17.1,24.8
	2022-09-23,159,22.4,18.9,26.8
	2022-09-24,159,20,15.7,25.6
	2022-09-25,159,20.3,18.5,22.6
	2022-09-26,159,20.5,18.8,24.2
	2022-09-27,159,21.6,19.1,26.6
	2022-09-28,159,21.8,19.1,27.7
	2022-09-29,159,22.6,18.6,27.2
	2022-09-30,159,22.1,18.4,26.9
	2022-10-01,159,23.4,18.5,30.8
	2022-10-02,159,23.9,20,28.3
	2022-10-03,159,24.2,23.2,25.3
	2022-10-04,159,21.8,16.7,24.9
	2022-10-05,159,18.3,16,22.6
	2022-10-06,159,18.1,16.5,20.2
	2022-10-07,159,17.2,14.9,23.4
	2022-10-08,159,17.2,14.3,21.8
	2022-10-09,159,17.3,14.9,19.8
	2022-10-10,159,14.8,11.6,19.1
	2022-10-11,159,14.7,10.7,21.1
	2022-10-12,159,17.1,11.2,22.8
	2022-10-13,159,19,16.3,23.5
	2022-10-14,159,19,15.5,24.8
	2022-10-15,159,19.7,16.5,25
	2022-10-16,159,20.4,16.7,26.1
	2022-10-17,159,18.1,10.9,24.8
	2022-10-18,159,13.2,8.8,20.1
	2022-10-19,159,13,8.1,20.4
	2022-10-20,159,15.9,10.9,21.7
	2022-10-21,159,17.9,13.8,22.1
	2022-10-22,159,19.2,16.9,24.3
	2022-10-23,159,17,13.5,22.8
	2022-10-24,159,13.8,10.7,19.1
	2022-10-25,159,13.7,9.8,19
	2022-10-26,159,15.9,10.7,21.6
	2022-10-27,159,17.6,14.5,23.5
	2022-10-28,159,17.2,13.3,23
	2022-10-29,159,15.7,13.5,21
	2022-10-30,159,14.8,12.9,18.8
	2022-10-31,159,15.9,12.2,21.1
	2022-11-01,159,17,12.5,23
