epoch,accuracy,loss,val_accuracy,val_loss
0,0.32428116,1.131231281323174,0.3205128312110901,1.0942782163619995
1,0.38338658,1.0909829859535534,0.35256409645080566,1.0976990461349487
2,0.36900958,1.0894406154132878,0.3782051205635071,1.0808031558990479
3,0.40734825,1.0812036850201054,0.4166666567325592,1.0773125886917114
4,0.39456868,1.0797775736251198,0.39743590354919434,1.0160492658615112
5,0.3881789,1.0763725548887406,0.49358972907066345,1.0774084329605103
6,0.42492014,1.0744820490431861,0.4166666567325592,1.065232753753662
7,0.45846644,1.0583688047366402,0.44871795177459717,0.9508485794067383
8,0.45846644,1.0439634229809331,0.5064102411270142,1.0291918516159058
9,0.41533548,1.0527621599051138,0.48076921701431274,1.0655945539474487
10,0.4680511,1.0323507083109773,0.41025641560554504,1.0896185636520386
11,0.4744409,1.0214089730296272,0.4423076808452606,1.0943379402160645
12,0.46325877,1.0244756887515132,0.49358972907066345,0.9183518290519714
13,0.4680511,1.0245361267187345,0.5320512652397156,1.0286946296691895
14,0.49520767,1.0042143884939128,0.4871794879436493,1.0929198265075684
15,0.46964857,1.0011094715267705,0.5,0.8692287802696228
16,0.49840257,0.9803525003762291,0.4615384638309479,0.941824197769165
17,0.52396166,0.9766735826818326,0.5384615659713745,1.0197383165359497
18,0.50479233,0.9877233371947901,0.5256410241127014,1.1637178659439087
19,0.5638978,0.9618625671337968,0.44871795177459717,1.0542454719543457
20,0.52715653,0.9498344659805298,0.5192307829856873,0.9448644518852234
21,0.528754,0.9644513714808626,0.5064102411270142,1.2450928688049316
22,0.5255591,0.9708690826123515,0.5448718070983887,0.9394550323486328
23,0.5079872,0.9876765572605803,0.5384615659713745,1.2581034898757935
24,0.557508,0.9260964808753505,0.5641025900840759,1.0019824504852295
25,0.52396166,0.9289098646694098,0.4743589758872986,1.0181998014450073
26,0.53035146,0.9562012277091273,0.4615384638309479,0.9507641792297363
27,0.57348245,0.9072131503123445,0.4615384638309479,1.3501601219177246
28,0.5559105,0.9469535762128739,0.5320512652397156,1.1595743894577026
29,0.5543131,0.9271723546159153,0.46794870495796204,0.8930346369743347
30,0.5942492,0.8804696767855757,0.5641025900840759,1.028800368309021
31,0.5798722,0.8856806850281006,0.5064102411270142,0.9664937853813171
32,0.5702875,0.9147694167999414,0.5897436141967773,0.8811457753181458
33,0.5926518,0.919057902627098,0.5256410241127014,1.0335134267807007
34,0.5830671,0.8944525575866333,0.5192307829856873,0.8592541813850403
35,0.5942492,0.8748190279205006,0.46794870495796204,1.1577789783477783
36,0.58146966,0.8982219467528711,0.5192307829856873,1.0545244216918945
37,0.600639,0.8760536810079702,0.49358972907066345,1.1621522903442383
38,0.5702875,0.8671582613509303,0.5705128312110901,0.7874412536621094
39,0.58785945,0.8539130322087687,0.5833333134651184,0.8712632060050964
